DateTime,Year,DoY,Hour,FCH4,NEE,LE,H,Ustar,Rg,Tair,Tsoil5cm,Tsoil10cm,Tsoil50cm,rH,VPD,Pa,WTH,LWOUT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Day,c,s
2017-06-01 21:30,2017,152,21.5,NA,1.107463,5.176553,-0.8817614,0.0743,0.06,14.28,17.71,17.08,14.35,86.63,2.174768,1013.6,37.54237,385.99,-0.1602321,-1.623138,-0.4051224,0.2913319,-0.3836383,-1.153925,1.030879,-0.2531029,0.1289226,-0.1244006,0.2060456,-0.174457,0.06947106,-0.008464966,152.8958,-0.8644071,0.5027926
2017-06-01 22:00,2017,152,22,NA,1.049213,5.218,-5.275094,0.0587,0.09,14.19,17.64,17.11,14.35,87.88,1.959987,1013.7,36.74358,386.07,-0.242643,-1.699314,-0.3403707,0.2516317,-0.4898514,-1.148598,1.07438,-0.2100517,0.11174,-0.09295271,0.2273495,-0.129505,0.08192177,0.001387858,152.9167,-0.8645873,0.5024826
2017-06-01 22:30,2017,152,22.5,NA,1.109373,5.218,-5.376544,0.0294,0,14.38,17.61,17.09,14.35,90.3,1.588047,1013.85,35.75352,385.74,-0.3604103,-1.832421,-0.2300028,0.2015396,-0.6633234,-1.089468,1.236414,-0.1380634,0.1283821,-0.07334816,0.2452007,-0.1238141,0.05450958,0.000793866,152.9375,-0.8647675,0.5021725
2017-06-01 23:00,2017,152,23,NA,1.218581,3.881017,-0.8141802,0.0657,0,13.97,17.63,17.09,14.35,88.47,1.838168,1014,34.7124,384.66,-0.2692742,-1.696628,-0.3182838,0.2508519,-0.3761004,-1.095565,1.110932,-0.2333098,0.1245992,-0.1294993,0.2037722,-0.1612648,0.07020486,-1.21E-05,152.9583,-0.8649475,0.5018623
2017-06-01 23:30,2017,152,23.5,NA,0.9801952,3.322205,-3.572212,0.0813,0,14.08,17.6,17.1,14.24,84.13,2.548188,1014.05,33.52241,383.14,-0.1277034,-1.547434,-0.3697755,0.3863196,-0.3707114,-1.187225,0.8575973,-0.3223486,0.1289492,-0.131994,0.1747885,-0.1439794,0.04995694,0.009723008,152.9792,-0.8651274,0.5015521
2017-06-02 0:00,2017,153,0,0.04318,0.7275335,1.437092,-2.61687,0.0654,0,13.92,17.55,17.1,14.18,85.32,2.332774,1014.1,31.84153,383.12,-0.1865086,-1.588578,-0.2794953,0.2725642,-0.5091874,-1.180111,0.8687335,-0.2983463,0.15513,-0.1384629,0.1640531,-0.1394521,0.06182518,0.01599177,153,-0.8653073,0.5012418
2017-06-02 0:30,2017,153,0.5,NA,1.051,4.272711,-3.083868,0.0828,0,13.84,17.52,17.07,14.15,84.78,2.406053,1014.25,30.24251,382,-0.171261,-1.545766,-0.3410721,0.3732787,-0.3257511,-1.140392,0.8761435,-0.3175254,0.1071487,-0.1188006,0.1514349,-0.1421246,0.04808513,0.01631853,153.0208,-0.865487,0.5009315
2017-06-02 1:00,2017,153,1,NA,0.9187313,4.076983,-4.510735,0.1099209,0.08,13.63,17.47,17.08,14.17,87.08,2.014764,1014.4,29.29846,381.25,-0.2014584,-1.521616,-0.3689728,0.1937842,-0.08068603,-1.164313,0.8212569,-0.2611371,0.06093492,-0.1137747,0.1506489,-0.1187643,0.04942139,0.01955822,153.0417,-0.8656666,0.500621
2017-06-02 1:30,2017,153,1.5,NA,1.37282,3.461989,-6.002795,0.1426366,0.05,13.31,17.44,17.05,14.17,88.93,1.690658,1014.5,28.50588,380.05,-0.273648,-1.521469,-0.4769689,0.1938686,0.2928565,-1.11385,0.8675948,-0.2405896,0.0161449,-0.1229657,0.1411093,-0.09559234,0.05399846,0.01632742,153.0625,-0.865846,0.5003105
2017-06-02 2:00,2017,153,2,NA,1.363893,1.626266,-4.878614,0.1050486,0,12.72,17.41,17.04,14.16,92.5,1.10209,1014.6,27.36056,378.78,-0.4834961,-1.682045,-0.314228,0.0584552,0.07117113,-1.024855,1.062945,-0.2089412,0.01559154,-0.13856,0.1401713,-0.08019645,0.07452281,0.01497307,153.0833,-0.8660254,0.5
2017-06-02 2:30,2017,153,2.5,NA,1.011422,4.386378,-1.489488,0.113494,0.2,12.78,17.38,17.02,14.16,93.83,0.910224,1014.85,25.90843,378.92,-0.4398782,-1.633016,-0.2566704,-0.1178172,0.1132731,-1.045396,1.018344,-0.1560704,-0.01343931,-0.1237887,0.1324338,-0.1124895,0.06032456,0.01544479,153.1042,-0.8662047,0.4996894
2017-06-02 3:00,2017,153,3,NA,1.643064,4.370929,-3.518354,0.1163864,0.12,12.89,17.32,17,14.16,94.22,0.8588527,1015.1,24.53357,378.8,-0.5049356,-1.697913,-0.2988469,0.06024796,0.2528681,-0.9621202,1.147752,-0.1377394,-0.01372929,-0.1152776,0.1427329,-0.09738122,0.05058725,0.0200349,153.125,-0.8663838,0.4993787
2017-06-02 3:30,2017,153,3.5,NA,1.818236,4.386378,-3.002056,0.1457638,0.07,12.73,17.29,17,14.15,94.69,0.7807915,1015.2,23.57306,378.55,-0.489734,-1.645178,-0.3799163,0.04870915,0.5275878,-0.952643,1.114041,-0.1329914,-0.04003332,-0.1269894,0.1269721,-0.09899697,0.05765013,0.02332736,153.1458,-0.8665628,0.499068
2017-06-02 4:00,2017,153,4,NA,0.9634139,3.895176,-18.29266,0.190359,0.04,12.44,17.26,16.97,14.18,92.71,1.051734,1015.3,23.02725,376.23,-0.3921711,-1.474475,-0.4485617,-0.1120686,0.7125446,-1.19031,0.6463558,-0.1403726,-0.1506145,-0.07173841,0.1527396,0.03978283,0.06983803,0.01542608,153.1667,-0.8667418,0.4987572
2017-06-02 4:30,2017,153,4.5,NA,1.065509,0.1256005,-13.96136,0.2388224,3.04,12.5,17.2,16.96,14.16,91.84,1.181897,1015.4,22.89615,375.42,-0.2972794,-1.336181,-0.5839657,-0.1174285,1.107235,-1.217175,0.5079357,-0.172682,-0.1109595,-0.1390116,0.122499,0.01455316,0.04923173,0.02268337,153.1875,-0.8669206,0.4984463
2017-06-02 5:00,2017,153,5,NA,0.7406655,4.016696,-8.001428,0.1835731,12.11,12.48,17.14,16.93,14.16,91.61,1.213616,1015.5,23.09989,375.85,-0.3025258,-1.378416,-0.3637283,-0.1497051,0.6151456,-1.162199,0.6398036,-0.195682,-0.08721614,-0.1226371,0.1374328,-0.02020327,0.04283506,0.02607422,153.2083,-0.8670993,0.4981354
